125.92,48.944,5.94
130.44,47.574,5.94
134.96,46.204,5.94
139.48,44.834,5.94
143.99,43.465,5.94
148.51,42.095,5.94
153.03,40.725,5.94
157.55,39.355,5.94
162.06,37.985,5.94
166.58,36.615,5.94
171.1,35.245,5.94
175.61,33.875,5.94
180.13,32.505,5.94
184.65,31.135,5.94
189.17,29.766,5.94
193.68,28.396,5.94
198.2,27.026,5.94
202.72,25.656,5.94
207.24,24.286,5.94
211.75,22.916,5.94
216.27,21.546,5.94
220.79,20.176,5.94
225.31,18.806,5.94
229.82,17.436,5.94
234.34,16.066,5.94
238.86,14.697,5.94
243.38,13.327,5.94
247.89,11.957,5.94
252.41,10.587,5.94
256.93,9.217,5.94
261.44,7.8471,5.94
265.96,6.4772,5.94
270.48,5.1072,5.94
275,3.7373,5.94
279.51,2.3674,5.94
