125.92,48.944,5.94,929,357
130.44,47.574,5.94,911,358
134.96,46.204,5.94,893,360
139.48,44.834,5.94,876,361
143.99,43.465,5.94,858,363
148.51,42.095,5.94,840,364
153.03,40.725,5.94,822,365
157.55,39.355,5.94,804,367
162.06,37.985,5.94,786,368
166.58,36.615,5.94,769,369
171.1,35.245,5.94,751,371
175.61,33.875,5.94,733,372
180.13,32.505,5.94,715,374
184.65,31.135,5.94,697,375
189.17,29.766,5.94,679,376
193.68,28.396,5.94,662,378
198.2,27.026,5.94,644,379
202.72,25.656,5.94,626,381
207.24,24.286,5.94,608,382
211.75,22.916,5.94,590,383
216.27,21.546,5.94,573,385
220.79,20.176,5.94,555,386
225.31,18.806,5.94,537,387
229.82,17.436,5.94,519,389
234.34,16.066,5.94,501,390
238.86,14.697,5.94,483,392
243.38,13.327,5.94,466,393
247.89,11.957,5.94,448,394
252.41,10.587,5.94,430,396
256.93,9.217,5.94,412,397
261.44,7.8471,5.94,394,398
265.96,6.4772,5.94,376,400
270.48,5.1072,5.94,359,401
275,3.7373,5.94,341,403
279.51,2.3674,5.94,323,404
